0	0.5	rings system ring dust number moons uranian particles discovered uranus forest high agency stability maximum zones confined strictly dense optically 
1	0.5	gunnhild norway life king mother needham spent husband details saga including orkney erik kings considered day society died boyfriend salaam 
2	0.5	zinta role hindi actress film indian acting top-grossing naa kehna award female filmfare earned debut films independent modern performances league 
3	0.5	time echo sunderland war edward world early paper daily storey areas east newspaper forced evening pittsburg buell held richard criminal 
4	0.5	test cricket south australian hill including england career record drama productions thomas leading ended australia year innings runs scored run 
5	0.5	years yard national wilderness parks park numerous states death united standards service movement journalist acted creating northern protection late rest 
6	0.5	average equipartition theorem energy law kinetic return effects stars classical heat motion equilibrium thermal original energies temperature association space considerably 
7	0.5	battle union hawes confederate army kentucky gen tennessee confederates line position men fighting grant's grant maj launched beauregard johnston april 
8	0.5	thylacine tasmanian tiger extinct survived back narrow water pouch relative devil found species related thought tasmania marsupial thylacinus general reported 
9	0.5	london gilbert thespis actors gods march written theatre opera sullivan december critical performer online markets changing teenage made extended dark—the 
